TIS_ID,LOCATION_LINK_DESC,LGA,ALL_VEHICLE_DAILY_VOLUME_AVG,TRUCKS_DAILY_VOLUME_AVG,DAILY_AVG_%_OF_VOLUME_OF_TRUCKS,LATITUDE,LONGITUDE,SUBURB,POSTCODE
271, BELL STREET btwn ST GEORGES ROAD & HIGH STREET,DAREBIN,23000,1100.0,0.05,-37.7448192,145.00015159999998, Preston , 3072
463, BELL STREET btwn CHIFLEY DRIVE & ORIEL ROAD,BANYULE,22000,1700.0,0.09,-37.7493219,145.03479319999997, Bellfield , 3081
82, BANKSIA STREET btwn LOWER HEIDELBERG ROAD & DORA STREET,BANYULE,21000,1300.0,0.07,-37.7598812,145.07029, Eaglemont , 3084
275, SPRINGVALE ROAD btwn CANTERBURY ROAD & HAWTHORN ROAD,WHITEHORSE,28000,956.0,0.04,-37.8415905,145.17135259999998, Forest Hill , 3131
279, SPRINGVALE ROAD btwn MONASH FREEWAY & MONASH FREEWAY,MONASH,24000,755.0,0.04,-37.90873679999999,145.1605639, Mulgrave , 3170
86, SPRINGVALE ROAD btwn ATHOL ROAD & CLARKE ROAD,DANDENONG,13000,663.0,0.06,-37.9747737,145.1477121, Springvale South , 3172
474, PRINCES HIGHWAY WEST btwn PORTLAND-CASTERTON ROAD & EDGAR STREET,GLENELG,1200,330.0,0.35,-38.1019152,141.6148809, Heywood , 3304
477, PRINCES HIGHWAY WEST btwn THISTLE PLACE & ALBERT STREET,MOYNE,2900,428.0,0.18,-38.3850624,142.2248848, Port Fairy , 3284
640, RAGLAN PARADE btwn BANYAN STREET & PRINCES HIGHWAY WEST,WARRNAMBOOL,8700,861.0,0.12,-38.385177,142.51007859999999, Warrnambool , 3280
640, RAGLAN PARADE btwn BANYAN STREET & PRINCES HIGHWAY WEST,WARRNAMBOOL,8700,861.0,0.12,-38.3851919,142.51008149999998, Warrnambool , 3280
292, HIGH STREET btwn HIGH STREET & COBDEN-TERANG ROAD,CORANGAMITE,3400,343.0,0.12,-38.240683600000004,142.91406, Terang , 3264
97, MANIFOLD STREET btwn CAMPERDOWN-BALLARAT ROAD & PRINCES HIGHWAY WEST,CORANGAMITE,2700,388.0,0.18,-38.2372683,143.15448130000001, Camperdown , 3260
99, MURRAY STREET btwn QUEEN STREET & PRINCES HIGHWAY WEST,COLAC OTWAY,5900,696.0,0.14,-38.336887,143.6009904, Colac , 3250
487, PRINCES HIGHWAY WEST btwn CAPE OTWAY ROAD & PRINCES HIGHWAY WEST,SURF COAST,652,23.0,0.04,-38.211803100000004,144.2331932, Mount Moriac , 3240
303, LATROBE TERRACE btwn NOBLE STREET & LATROBE TERRACE,GEELONG,26000,4100.0,0.19,-38.153153100000004,144.35154530000003, Newtown , 3220
1866, DEDDICK RIVER ROAD btwn GELANTIPY ROAD & ORBOST-BONANG ROAD,EAST GIPPSLAND,11,2.0,0.18,-37.066097,148.5043464, Tubbut , 3888
224, FRANKSTON-DANDENONG ROAD btwn WEDGE ROAD & HALL ROAD,FRANKSTON,11000,556.0,0.06,-38.092836299999995,145.1782481, Carrum Downs , 3201
226, OVERTON ROAD btwn DANDENONG ROAD & DANDENONG ROAD,FRANKSTON,8600,448.0,0.06,-38.1301279,145.1316753, Frankston , 3199
596, WARBURTON HIGHWAY btwn RUSSELL ROAD & MONBULK-SEVILLE ROAD,YARRA RANGES,8100,426.0,0.06,-37.7792629,145.45584219999998, Seville , 3139
48, WARBURTON HIGHWAY btwn UNNAMED & UNNAMED,YARRA RANGES,3600,190.0,0.06,-37.7619693,145.64707130000002, Wesburn , 3799
428, FOOTSCRAY ROAD btwn DOCK LINK ROAD & WESTERN LINK TOLLWAY,MELBOURNE,16000,813.0,0.06,-37.8082756,144.9242017, West Melbourne , 3003
429, WURUNDJERI WAY btwn FLINDERS STREET & MONTAGUE STREET,MELBOURNE,26000,1500.0,0.07,-37.8227217,144.9492185, Docklands , 3008
236, PLENTY ROAD btwn SETTLEMENT ROAD & GRIMSHAW STREET,BANYULE,28000,1500.0,0.06,-37.6989396,145.0586609, Bundoora , 3083
434, ALBERT STREET btwn GOWER STREET & BELL STREET,DAREBIN,15000,788.0,0.06,-37.74490120000001,145.02220119999998, Preston , 3072
241, HYLAND HIGHWAY btwn BARTONS LANE & TRARALGON CREEK ROAD,LATROBE,2000,150.0,0.09,-38.25007539999999,146.5720225, Loy Yang , 3844
435, GRAND RIDGE WEST ROAD btwn WEMBRIDGES ROAD & RIDGWAY STREET,SOUTH GIPPSLAND,2000,361.0,0.22,-38.3987773,146.1494709, Mirboo North , 3871
248, MORWELL-THORPDALE ROAD btwn PRINCES FREEWAY EAST & PRINCES FREEWAY EAST,LATROBE,3400,154.0,0.06,-38.2348252,146.3769912, Morwell , 3840
441, CALDER ALTERNATIVE HIGHWAY btwn BENDIGO-ST ARNAUD ROAD & HIGH STREET,BENDIGO,2700,484.0,0.23,-36.740798999999996,144.1307297, Marong , 3515
252, DANDENONG-HASTINGS ROAD btwn THOMPSONS ROAD & HALL ROAD,CASEY,14000,1400.0,0.11,-38.0923915,145.2368161, Cranbourne West , 3977
449, DANDENONG-HASTINGS ROAD btwn BUNGOWER ROAD & MCKIRDYS ROAD,MORNINGTON PENINSULA,4000,320.0,0.09,-38.245782399999996,145.2149319, Somerville , 3912
452, RINGWOOD BYPASS btwn RINGWOOD STREET & WARRANDYTE ROAD,MAROONDAH,23000,1200.0,0.06,-37.8105014,145.2289839, Ringwood , 3134
454, WELLINGTON ROAD btwn MONASH FREEWAY Offramp & MONASH FREEWAY Onramp,MONASH,26000,1300.0,0.06,-37.9209352,145.178749, Wheelers Hill , 3150
455, SOUTH GIPPSLAND FREEWAY btwn SOUTH GIPPSLAND FREEWAY Onramp & SOUTH GIPPSLAND FREEWAY,CASEY,44000,3800.0,0.1,-37.998332,145.2527122, Eumemmerring , 3177
572, NORTH ROAD btwn EAST BOUNDARY ROAD & CROSBIE ROAD,GLEN EIRA,18000,924.0,0.06,-37.906873100000006,145.0640519, Murrumbeena , 3163
576, NORTH ROAD btwn HAUGHTON ROAD & HUNTINGDALE ROAD,MONASH,21000,1200.0,0.06,-37.911556700000006,145.1030349, Oakleigh South , 3167
533, WESTERN HIGHWAY btwn GEELONG ROAD & OLD SHIRLEY ROAD,ARARAT,3000,469.0,0.19,-37.364854,143.1688144, Buangor , 3375
533, WESTERN HIGHWAY btwn GEELONG ROAD & OLD SHIRLEY ROAD,ARARAT,3000,469.0,0.19,-37.364854,143.1688144, Buangor , 3375
129, PRINCES FREEWAY EAST btwn PRINCES FREEWAY EAST Town Bound & HAGENS TRACK,LATROBE,2100,234.0,0.14,-38.1885225,146.2839154, Hernes Oak , 3825
678, PRINCES FREEWAY EAST btwn PRINCES HIGHWAY EAST Offramp & PRINCES HIGHWAY EAST Offramp,LATROBE,2100,234.0,0.14,-38.2095682,146.3203242, Hernes Oak , 3825
686, WESTERN HIGHWAY btwn SERVICETON NORTH-TELOPEA DOWNS ROAD & COMMERCIAL STREET,WEST WIMMERA,1400,577.0,0.52,-36.3603684,141.1094239, Lillimur , 3420
338, NELSON STREET btwn QUEEN STREET & NELSON STREET,HINDMARSH,2700,719.0,0.33,-36.3339676,141.66169730000001, Nhill , 3418
342, DIMBOOLA ROAD btwn JENKINSON AVENUE & BAILLIE STREET,HORSHAM,2900,594.0,0.25,-36.7089761,142.19317969999997, Horsham , 3400
